Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Liverpool,15,10,5,0,38,16,22,35,2.33,34.5,13.8,20.7,1.38
2,Arsenal,14,7,5,2,24,12,12,26,1.86,19.4,14.4,5,0.36
3,Nott'ham Forest,14,7,2,5,22,23,-1,23,1.64,16.5,20.1,-3.6,-0.26
4,Manchester City,14,6,3,5,25,20,5,21,1.5,22.6,21.1,1.5,0.11
5,Chelsea,14,6,3,5,26,21,5,21,1.5,26.4,23.5,2.9,0.21
6,Newcastle Utd,14,6,3,5,22,21,1,21,1.5,22,18.2,3.8,0.27
7,Bournemouth,14,6,4,4,28,22,6,22,1.57,25.6,20.7,4.9,0.35
8,Brighton,14,6,4,4,25,24,1,22,1.57,20,22.5,-2.5,-0.18
9,Fulham,13,6,4,3,20,15,5,22,1.69,19.9,15.1,4.8,0.37
10,Aston Villa,13,4,2,7,15,27,-12,14,1.08,13.9,24.6,-10.7,-0.82
11,Brentford,13,4,2,7,18,17,1,14,1.08,17.3,20.6,-3.3,-0.25
12,Crystal Palace,13,6,4,3,19,11,8,22,1.69,18.5,17.2,1.3,0.1
13,Tottenham,13,5,1,7,25,15,10,16,1.23,19.9,20.4,-0.5,-0.04
14,Manchester Utd,13,3,5,5,13,15,-2,14,1.08,15.3,20.1,-4.8,-0.37
15,Everton,13,3,5,5,10,17,-7,14,1.08,12.5,17.9,-5.4,-0.41
16,West Ham,13,4,4,5,14,20,-6,16,1.23,16.6,19.5,-2.9,-0.22
17,Wolves,14,3,3,8,20,30,-10,12,0.86,15.4,23.2,-7.9,-0.56
18,Ipswich Town,13,2,4,7,16,27,-11,10,0.77,11.5,28.6,-17.2,-1.32
19,Leicester City,12,2,2,8,14,32,-18,8,0.67,11.2,25.7,-14.4,-1.2
20,Southampton,14,1,2,11,10,28,-18,5,0.36,11.7,27.5,-15.8,-1.13